id,sel_interval,period,step,vol_btc,vol_usd,bal_btc,bal_usd,old_ord,max_usage,margin,per,current_price,start_sum,total_sum,bal_margin,duration
2017_36*w*step1oldord5margin0.01per30,2017_36*w*,1440,1,0.00271,12.50,0.05428,250.00,5,70,0.010,30,4226.22,479.40,502.71,4.64,0:01:04.096011
2017_37*w*step3oldord1margin0.005per30,2017_37*w*,1440,3,0.00296,12.50,0.05923,250.00,1,70,0.005,30,3662.99,466.96,481.31,2.98,0:00:44.903069
2017_38*w*step1oldord5margin0.005per30,2017_38*w*,1440,1,0.00341,12.50,0.06826,250.00,5,70,0.005,30,3664.22,500.12,516.37,3.15,0:01:21.189469
2017_39*w*step7oldord1margin0.05per30,2017_39*w*,1440,7,0.00341,12.50,0.06823,250.00,1,70,0.050,30,4377.22,548.66,545.05,-0.66,0:00:39.960390
2017_40*w*step1oldord5margin0.05per30,2017_40*w*,1440,1,0.00286,12.50,0.05716,250.00,5,70,0.050,30,4597.98,512.82,523.26,2.00,0:01:24.839431
2017_41*w*step7oldord1margin0.05per30,2017_41*w*,1440,7,0.00272,12.50,0.05437,250.00,1,70,0.050,30,5679.70,558.81,562.15,0.59,0:00:41.592556
2017_42*w*step1oldord1margin0.01per30,2017_42*w*,1440,1,0.00220,12.50,0.04391,250.00,1,70,0.010,30,5969.00,512.10,533.52,4.01,0:01:15.123581
2017_43*w*step3oldord1margin0.025per30,2017_43*w*,1440,3,0.00209,12.50,0.04189,250.00,1,70,0.025,30,6137.37,507.09,531.54,4.60,0:00:47.875737
2017_44*w*step7oldord1margin0.05per30,2017_44*w*,1440,7,0.00204,12.50,0.04076,250.00,1,70,0.050,30,7372.72,550.51,540.69,-1.82,0:00:40.536646
2017_45*w*step5oldord1margin0.05per30,2017_45*w*,1440,5,0.00170,12.50,0.03396,250.00,1,70,0.050,30,5870.37,449.36,452.52,0.70,0:00:55.810565
